Power,Scanning Speed,Layer Thickness,Spot Size,Porosity,Max Melt Pool Width,Max Melt Pool Depth
50,200,30,100,40.5,112.5,40
50,400,30,100,40.5,75,25
50,600,30,100,40.5,75,25
50,800,30,100,40.5,75,5
50,1000,30,100,40.5,75,5
50,1200,30,100,40.5,75,10
75,200,30,100,40.5,75,187.5
75,400,30,100,40.5,112.5,40
75,600,30,100,40.5,112.5,60
75,800,30,100,40.5,75,60
75,1000,30,100,40.5,75,37.5
75,1200,30,100,40.5,56.25,75
100,200,30,100,40.5,150,225
100,400,30,100,40.5,75,150
100,600,30,100,40.5,112.5,37.5
100,800,30,100,40.5,112.5,25
100,1000,30,100,40.5,75,37.5
100,1200,30,100,40.5,75,45
125,200,30,100,40.5,225,150
125,400,30,100,40.5,150,150
125,600,30,100,40.5,112.5,112.5
125,800,30,100,40.5,112.5,40
125,1000,30,100,40.5,112.5,15
125,1200,30,100,40.5,80,15
150,200,30,100,40.5,225,300
150,400,30,100,40.5,170,187.5
150,600,30,100,40.5,140,150
150,800,30,100,40.5,150,75
150,1000,30,100,40.5,112.5,60
150,1200,30,100,40.5,112.5,37.5
175,200,30,100,40.5,262.5,360
175,400,30,100,40.5,225,206.25
175,600,30,100,40.5,187.5,187.5
175,800,30,100,40.5,150,112.5
175,1000,30,100,40.5,131.25,75
175,1200,30,100,40.5,112.5,37.5
195,200,30,100,40.5,300,337.5
195,400,30,100,40.5,170,225
195,600,30,100,40.5,150,187.5
195,800,30,100,40.5,150,112.5
195,1000,30,100,40.5,112.5,93.75
195,1200,30,100,40.5,112.5,75
50,500,30,100,50,67,16
50,750,30,100,50,50,12
50,1000,30,100,50,47,10
50,1200,30,100,50,45,5
100,500,30,100,50,118,44
100,750,30,100,50,98,32
100,1000,30,100,50,75,24
100,1200,30,100,50,72,22
150,500,30,100,50,145,101
150,750,30,100,50,135,72
150,1000,30,100,50,115,53
150,1200,30,100,50,108,49
195,500,30,100,50,193,176
195,750,30,100,50,161,110
195,1000,30,100,50,130,81
195,1200,30,100,50,122,65
50,505,30,100,50,66.66,15.92
50,510,30,100,50,66.32,15.84
50,515,30,100,50,65.98,15.76
50,520,30,100,50,65.64,15.68
50,525,30,100,50,65.3,15.6
50,530,30,100,50,64.96,15.52
50,535,30,100,50,64.62,15.44
50,540,30,100,50,64.28,15.36
50,545,30,100,50,63.94,15.28
50,550,30,100,50,63.6,15.2
50,555,30,100,50,63.26,15.12
50,560,30,100,50,62.92,15.04
50,565,30,100,50,62.58,14.96
50,570,30,100,50,62.24,14.88
50,575,30,100,50,61.9,14.8
50,580,30,100,50,61.56,14.72
50,585,30,100,50,61.22,14.64
50,590,30,100,50,60.88,14.56
50,595,30,100,50,60.54,14.48
50,600,30,100,50,60.2,14.4
50,605,30,100,50,59.86,14.32
50,610,30,100,50,59.52,14.24
50,615,30,100,50,59.18,14.16
50,620,30,100,50,58.84,14.08
50,625,30,100,50,58.5,14
50,630,30,100,50,58.16,13.92
50,635,30,100,50,57.82,13.84
50,640,30,100,50,57.48,13.76
50,645,30,100,50,57.14,13.68
50,650,30,100,50,56.8,13.6
50,655,30,100,50,56.46,13.52
50,660,30,100,50,56.12,13.44
50,665,30,100,50,55.78,13.36
50,670,30,100,50,55.44,13.28
50,675,30,100,50,55.1,13.2
50,680,30,100,50,54.76,13.12
50,685,30,100,50,54.42,13.04
50,690,30,100,50,54.08,12.96
50,695,30,100,50,53.74,12.88
50,700,30,100,50,53.4,12.8
50,705,30,100,50,53.06,12.72
50,710,30,100,50,52.72,12.64
50,715,30,100,50,52.38,12.56
50,720,30,100,50,52.04,12.48
50,725,30,100,50,51.7,12.4
50,730,30,100,50,51.36,12.32
50,735,30,100,50,51.02,12.24
50,740,30,100,50,50.68,12.16
50,745,30,100,50,50.34,12.08
50,755,30,100,50,49.94,11.96
50,760,30,100,50,49.88,11.92
50,765,30,100,50,49.82,11.88
50,770,30,100,50,49.76,11.84
50,775,30,100,50,49.7,11.8
50,780,30,100,50,49.64,11.76
50,785,30,100,50,49.58,11.72
50,790,30,100,50,49.52,11.68
50,795,30,100,50,49.46,11.64
50,800,30,100,50,49.4,11.6
50,805,30,100,50,49.34,11.56
50,810,30,100,50,49.28,11.52
50,815,30,100,50,49.22,11.48
50,820,30,100,50,49.16,11.44
50,825,30,100,50,49.1,11.4
50,830,30,100,50,49.04,11.36
50,835,30,100,50,48.98,11.32
50,840,30,100,50,48.92,11.28
50,845,30,100,50,48.86,11.24
50,850,30,100,50,48.8,11.2
50,855,30,100,50,48.74,11.16
50,860,30,100,50,48.68,11.12
50,865,30,100,50,48.62,11.08
50,870,30,100,50,48.56,11.04
50,875,30,100,50,48.5,11
50,880,30,100,50,48.44,10.96
50,885,30,100,50,48.38,10.92
50,890,30,100,50,48.32,10.88
50,895,30,100,50,48.26,10.84
50,900,30,100,50,48.2,10.8
50,905,30,100,50,48.14,10.76
50,910,30,100,50,48.08,10.72
50,915,30,100,50,48.02,10.68
50,920,30,100,50,47.96,10.64
50,925,30,100,50,47.9,10.6
50,930,30,100,50,47.84,10.56
50,935,30,100,50,47.78,10.52
50,940,30,100,50,47.72,10.48
50,945,30,100,50,47.66,10.44
50,950,30,100,50,47.6,10.4
50,955,30,100,50,47.54,10.36
50,960,30,100,50,47.48,10.32
50,965,30,100,50,47.42,10.28
50,970,30,100,50,47.36,10.24
50,975,30,100,50,47.3,10.2
50,980,30,100,50,47.24,10.16
50,985,30,100,50,47.18,10.12
50,990,30,100,50,47.12,10.08
50,995,30,100,50,47.06,10.04
50,1005,30,100,50,46.95,9.875
50,1010,30,100,50,46.9,9.75
50,1015,30,100,50,46.85,9.625
50,1020,30,100,50,46.8,9.5
50,1025,30,100,50,46.75,9.375
50,1030,30,100,50,46.7,9.25
50,1035,30,100,50,46.65,9.125
50,1040,30,100,50,46.6,9
50,1045,30,100,50,46.55,8.875
50,1050,30,100,50,46.5,8.75
50,1055,30,100,50,46.45,8.625
50,1060,30,100,50,46.4,8.5
50,1065,30,100,50,46.35,8.375
50,1070,30,100,50,46.3,8.25
50,1075,30,100,50,46.25,8.125
50,1080,30,100,50,46.2,8
50,1085,30,100,50,46.15,7.875
50,1090,30,100,50,46.1,7.75
50,1095,30,100,50,46.05,7.625
50,1100,30,100,50,46,7.5
50,1105,30,100,50,45.95,7.375
50,1110,30,100,50,45.9,7.25
50,1115,30,100,50,45.85,7.125
50,1120,30,100,50,45.8,7
50,1125,30,100,50,45.75,6.875
50,1130,30,100,50,45.7,6.75
50,1135,30,100,50,45.65,6.625
50,1140,30,100,50,45.6,6.5
50,1145,30,100,50,45.55,6.375
50,1150,30,100,50,45.5,6.25
50,1155,30,100,50,45.45,6.125
50,1160,30,100,50,45.4,6
50,1165,30,100,50,45.35,5.875
50,1170,30,100,50,45.3,5.75
50,1175,30,100,50,45.25,5.625
50,1180,30,100,50,45.2,5.5
50,1185,30,100,50,45.15,5.375
50,1190,30,100,50,45.1,5.25
50,1195,30,100,50,45.05,5.125
100,505,30,100,50,117.6,43.76
100,510,30,100,50,117.2,43.52
100,515,30,100,50,116.8,43.28
100,520,30,100,50,116.4,43.04
100,525,30,100,50,116,42.8
100,530,30,100,50,115.6,42.56
100,535,30,100,50,115.2,42.32
100,540,30,100,50,114.8,42.08
100,545,30,100,50,114.4,41.84
100,550,30,100,50,114,41.6
100,555,30,100,50,113.6,41.36
100,560,30,100,50,113.2,41.12
100,565,30,100,50,112.8,40.88
100,570,30,100,50,112.4,40.64
100,575,30,100,50,112,40.4
100,580,30,100,50,111.6,40.16
100,585,30,100,50,111.2,39.92
100,590,30,100,50,110.8,39.68
100,595,30,100,50,110.4,39.44
100,600,30,100,50,110,39.2
100,605,30,100,50,109.6,38.96
100,610,30,100,50,109.2,38.72
100,615,30,100,50,108.8,38.48
100,620,30,100,50,108.4,38.24
100,625,30,100,50,108,38
100,630,30,100,50,107.6,37.76
100,635,30,100,50,107.2,37.52
100,640,30,100,50,106.8,37.28
100,645,30,100,50,106.4,37.04
100,650,30,100,50,106,36.8
100,655,30,100,50,105.6,36.56
100,660,30,100,50,105.2,36.32
100,665,30,100,50,104.8,36.08
100,670,30,100,50,104.4,35.84
100,675,30,100,50,104,35.6
100,680,30,100,50,103.6,35.36
100,685,30,100,50,103.2,35.12
100,690,30,100,50,102.8,34.88
100,695,30,100,50,102.4,34.64
100,700,30,100,50,102,34.4
100,705,30,100,50,101.6,34.16
100,710,30,100,50,101.2,33.92
100,715,30,100,50,100.8,33.68
100,720,30,100,50,100.4,33.44
100,725,30,100,50,100,33.2
100,730,30,100,50,99.6,32.96
100,735,30,100,50,99.2,32.72
100,740,30,100,50,98.8,32.48
100,745,30,100,50,98.4,32.24
100,755,30,100,50,97.54,31.84
100,760,30,100,50,97.08,31.68
100,765,30,100,50,96.62,31.52
100,770,30,100,50,96.16,31.36
100,775,30,100,50,95.7,31.2
100,780,30,100,50,95.24,31.04
100,785,30,100,50,94.78,30.88
100,790,30,100,50,94.32,30.72
100,795,30,100,50,93.86,30.56
100,800,30,100,50,93.4,30.4
100,805,30,100,50,92.94,30.24
100,810,30,100,50,92.48,30.08
100,815,30,100,50,92.02,29.92
100,820,30,100,50,91.56,29.76
100,825,30,100,50,91.1,29.6
100,830,30,100,50,90.64,29.44
100,835,30,100,50,90.18,29.28
100,840,30,100,50,89.72,29.12
100,845,30,100,50,89.26,28.96
100,850,30,100,50,88.8,28.8
100,855,30,100,50,88.34,28.64
100,860,30,100,50,87.88,28.48
100,865,30,100,50,87.42,28.32
100,870,30,100,50,86.96,28.16
100,875,30,100,50,86.5,28
100,880,30,100,50,86.04,27.84
100,885,30,100,50,85.58,27.68
100,890,30,100,50,85.12,27.52
100,895,30,100,50,84.66,27.36
100,900,30,100,50,84.2,27.2
100,905,30,100,50,83.74,27.04
100,910,30,100,50,83.28,26.88
100,915,30,100,50,82.82,26.72
100,920,30,100,50,82.36,26.56
100,925,30,100,50,81.9,26.4
100,930,30,100,50,81.44,26.24
100,935,30,100,50,80.98,26.08
100,940,30,100,50,80.52,25.92
100,945,30,100,50,80.06,25.76
100,950,30,100,50,79.6,25.6
100,955,30,100,50,79.14,25.44
100,960,30,100,50,78.68,25.28
100,965,30,100,50,78.22,25.12
100,970,30,100,50,77.76,24.96
100,975,30,100,50,77.3,24.8
100,980,30,100,50,76.84,24.64
100,985,30,100,50,76.38,24.48
100,990,30,100,50,75.92,24.32
100,995,30,100,50,75.46,24.16
100,1005,30,100,50,74.925,23.95
100,1010,30,100,50,74.85,23.9
100,1015,30,100,50,74.775,23.85
100,1020,30,100,50,74.7,23.8
100,1025,30,100,50,74.625,23.75
100,1030,30,100,50,74.55,23.7
100,1035,30,100,50,74.475,23.65
100,1040,30,100,50,74.4,23.6
100,1045,30,100,50,74.325,23.55
100,1050,30,100,50,74.25,23.5
100,1055,30,100,50,74.175,23.45
100,1060,30,100,50,74.1,23.4
100,1065,30,100,50,74.025,23.35
100,1070,30,100,50,73.95,23.3
100,1075,30,100,50,73.875,23.25
100,1080,30,100,50,73.8,23.2
100,1085,30,100,50,73.725,23.15
100,1090,30,100,50,73.65,23.1
100,1095,30,100,50,73.575,23.05
100,1100,30,100,50,73.5,23
100,1105,30,100,50,73.425,22.95
100,1110,30,100,50,73.35,22.9
100,1115,30,100,50,73.275,22.85
100,1120,30,100,50,73.2,22.8
100,1125,30,100,50,73.125,22.75
100,1130,30,100,50,73.05,22.7
100,1135,30,100,50,72.975,22.65
100,1140,30,100,50,72.9,22.6
100,1145,30,100,50,72.825,22.55
100,1150,30,100,50,72.75,22.5
100,1155,30,100,50,72.675,22.45
100,1160,30,100,50,72.6,22.4
100,1165,30,100,50,72.525,22.35
100,1170,30,100,50,72.45,22.3
100,1175,30,100,50,72.375,22.25
100,1180,30,100,50,72.3,22.2
100,1185,30,100,50,72.225,22.15
100,1190,30,100,50,72.15,22.1
100,1195,30,100,50,72.075,22.05
150,505,30,100,50,144.8,100.42
150,510,30,100,50,144.6,99.84
150,515,30,100,50,144.4,99.26
150,520,30,100,50,144.2,98.68
150,525,30,100,50,144,98.1
150,530,30,100,50,143.8,97.52
150,535,30,100,50,143.6,96.94
150,540,30,100,50,143.4,96.36
150,545,30,100,50,143.2,95.78
150,550,30,100,50,143,95.2
150,555,30,100,50,142.8,94.62
150,560,30,100,50,142.6,94.04
150,565,30,100,50,142.4,93.46
150,570,30,100,50,142.2,92.88
150,575,30,100,50,142,92.3
150,580,30,100,50,141.8,91.72
150,585,30,100,50,141.6,91.14
150,590,30,100,50,141.4,90.56
150,595,30,100,50,141.2,89.98
150,600,30,100,50,141,89.4
150,605,30,100,50,140.8,88.82
150,610,30,100,50,140.6,88.24
150,615,30,100,50,140.4,87.66
150,620,30,100,50,140.2,87.08
150,625,30,100,50,140,86.5
150,630,30,100,50,139.8,85.92
150,635,30,100,50,139.6,85.34
150,640,30,100,50,139.4,84.76
150,645,30,100,50,139.2,84.18
150,650,30,100,50,139,83.6
150,655,30,100,50,138.8,83.02
150,660,30,100,50,138.6,82.44
150,665,30,100,50,138.4,81.86
150,670,30,100,50,138.2,81.28
150,675,30,100,50,138,80.7
150,680,30,100,50,137.8,80.12
150,685,30,100,50,137.6,79.54
150,690,30,100,50,137.4,78.96
150,695,30,100,50,137.2,78.38
150,700,30,100,50,137,77.8
150,705,30,100,50,136.8,77.22
150,710,30,100,50,136.6,76.64
150,715,30,100,50,136.4,76.06
150,720,30,100,50,136.2,75.48
150,725,30,100,50,136,74.9
150,730,30,100,50,135.8,74.32
150,735,30,100,50,135.6,73.74
150,740,30,100,50,135.4,73.16
150,745,30,100,50,135.2,72.58
150,755,30,100,50,134.6,71.62
150,760,30,100,50,134.2,71.24
150,765,30,100,50,133.8,70.86
150,770,30,100,50,133.4,70.48
150,775,30,100,50,133,70.1
150,780,30,100,50,132.6,69.72
150,785,30,100,50,132.2,69.34
150,790,30,100,50,131.8,68.96
150,795,30,100,50,131.4,68.58
150,800,30,100,50,131,68.2
150,805,30,100,50,130.6,67.82
150,810,30,100,50,130.2,67.44
150,815,30,100,50,129.8,67.06
150,820,30,100,50,129.4,66.68
150,825,30,100,50,129,66.3
150,830,30,100,50,128.6,65.92
150,835,30,100,50,128.2,65.54
150,840,30,100,50,127.8,65.16
150,845,30,100,50,127.4,64.78
150,850,30,100,50,127,64.4
150,855,30,100,50,126.6,64.02
150,860,30,100,50,126.2,63.64
150,865,30,100,50,125.8,63.26
150,870,30,100,50,125.4,62.88
150,875,30,100,50,125,62.5
150,880,30,100,50,124.6,62.12
150,885,30,100,50,124.2,61.74
150,890,30,100,50,123.8,61.36
150,895,30,100,50,123.4,60.98
150,900,30,100,50,123,60.6
150,905,30,100,50,122.6,60.22
150,910,30,100,50,122.2,59.84
150,915,30,100,50,121.8,59.46
150,920,30,100,50,121.4,59.08
150,925,30,100,50,121,58.7
150,930,30,100,50,120.6,58.32
150,935,30,100,50,120.2,57.94
150,940,30,100,50,119.8,57.56
150,945,30,100,50,119.4,57.18
150,950,30,100,50,119,56.8
150,955,30,100,50,118.6,56.42
150,960,30,100,50,118.2,56.04
150,965,30,100,50,117.8,55.66
150,970,30,100,50,117.4,55.28
150,975,30,100,50,117,54.9
150,980,30,100,50,116.6,54.52
150,985,30,100,50,116.2,54.14
150,990,30,100,50,115.8,53.76
150,995,30,100,50,115.4,53.38
150,1005,30,100,50,114.825,52.9
150,1010,30,100,50,114.65,52.8
150,1015,30,100,50,114.475,52.7
150,1020,30,100,50,114.3,52.6
150,1025,30,100,50,114.125,52.5
150,1030,30,100,50,113.95,52.4
150,1035,30,100,50,113.775,52.3
150,1040,30,100,50,113.6,52.2
150,1045,30,100,50,113.425,52.1
150,1050,30,100,50,113.25,52
150,1055,30,100,50,113.075,51.9
150,1060,30,100,50,112.9,51.8
150,1065,30,100,50,112.725,51.7
150,1070,30,100,50,112.55,51.6
150,1075,30,100,50,112.375,51.5
150,1080,30,100,50,112.2,51.4
150,1085,30,100,50,112.025,51.3
150,1090,30,100,50,111.85,51.2
150,1095,30,100,50,111.675,51.1
150,1100,30,100,50,111.5,51
150,1105,30,100,50,111.325,50.9
150,1110,30,100,50,111.15,50.8
150,1115,30,100,50,110.975,50.7
150,1120,30,100,50,110.8,50.6
150,1125,30,100,50,110.625,50.5
150,1130,30,100,50,110.45,50.4
150,1135,30,100,50,110.275,50.3
150,1140,30,100,50,110.1,50.2
150,1145,30,100,50,109.925,50.1
150,1150,30,100,50,109.75,50
150,1155,30,100,50,109.575,49.9
150,1160,30,100,50,109.4,49.8
150,1165,30,100,50,109.225,49.7
150,1170,30,100,50,109.05,49.6
150,1175,30,100,50,108.875,49.5
150,1180,30,100,50,108.7,49.4
150,1185,30,100,50,108.525,49.3
150,1190,30,100,50,108.35,49.2
150,1195,30,100,50,108.175,49.1
195,505,30,100,50,192.36,174.68
195,510,30,100,50,191.72,173.36
195,515,30,100,50,191.08,172.04
195,520,30,100,50,190.44,170.72
195,525,30,100,50,189.8,169.4
195,530,30,100,50,189.16,168.08
195,535,30,100,50,188.52,166.76
195,540,30,100,50,187.88,165.44
195,545,30,100,50,187.24,164.12
195,550,30,100,50,186.6,162.8
195,555,30,100,50,185.96,161.48
195,560,30,100,50,185.32,160.16
195,565,30,100,50,184.68,158.84
195,570,30,100,50,184.04,157.52
195,575,30,100,50,183.4,156.2
195,580,30,100,50,182.76,154.88
195,585,30,100,50,182.12,153.56
195,590,30,100,50,181.48,152.24
195,595,30,100,50,180.84,150.92
195,600,30,100,50,180.2,149.6
195,605,30,100,50,179.56,148.28
195,610,30,100,50,178.92,146.96
195,615,30,100,50,178.28,145.64
195,620,30,100,50,177.64,144.32
195,625,30,100,50,177,143
195,630,30,100,50,176.36,141.68
195,635,30,100,50,175.72,140.36
195,640,30,100,50,175.08,139.04
195,645,30,100,50,174.44,137.72
195,650,30,100,50,173.8,136.4
195,655,30,100,50,173.16,135.08
195,660,30,100,50,172.52,133.76
195,665,30,100,50,171.88,132.44
195,670,30,100,50,171.24,131.12
195,675,30,100,50,170.6,129.8
195,680,30,100,50,169.96,128.48
195,685,30,100,50,169.32,127.16
195,690,30,100,50,168.68,125.84
195,695,30,100,50,168.04,124.52
195,700,30,100,50,167.4,123.2
195,705,30,100,50,166.76,121.88
195,710,30,100,50,166.12,120.56
195,715,30,100,50,165.48,119.24
195,720,30,100,50,164.84,117.92
195,725,30,100,50,164.2,116.6
195,730,30,100,50,163.56,115.28
195,735,30,100,50,162.92,113.96
195,740,30,100,50,162.28,112.64
195,745,30,100,50,161.64,111.32
195,755,30,100,50,160.38,109.42
195,760,30,100,50,159.76,108.84
195,765,30,100,50,159.14,108.26
195,770,30,100,50,158.52,107.68
195,775,30,100,50,157.9,107.1
195,780,30,100,50,157.28,106.52
195,785,30,100,50,156.66,105.94
195,790,30,100,50,156.04,105.36
195,795,30,100,50,155.42,104.78
195,800,30,100,50,154.8,104.2
195,805,30,100,50,154.18,103.62
195,810,30,100,50,153.56,103.04
195,815,30,100,50,152.94,102.46
195,820,30,100,50,152.32,101.88
195,825,30,100,50,151.7,101.3
195,830,30,100,50,151.08,100.72
195,835,30,100,50,150.46,100.14
195,840,30,100,50,149.84,99.56
195,845,30,100,50,149.22,98.98
195,850,30,100,50,148.6,98.4
195,855,30,100,50,147.98,97.82
195,860,30,100,50,147.36,97.24
195,865,30,100,50,146.74,96.66
195,870,30,100,50,146.12,96.08
195,875,30,100,50,145.5,95.5
195,880,30,100,50,144.88,94.92
195,885,30,100,50,144.26,94.34
195,890,30,100,50,143.64,93.76
195,895,30,100,50,143.02,93.18
195,900,30,100,50,142.4,92.6
195,905,30,100,50,141.78,92.02
195,910,30,100,50,141.16,91.44
195,915,30,100,50,140.54,90.86
195,920,30,100,50,139.92,90.28
195,925,30,100,50,139.3,89.7
195,930,30,100,50,138.68,89.12
195,935,30,100,50,138.06,88.54
195,940,30,100,50,137.44,87.96
195,945,30,100,50,136.82,87.38
195,950,30,100,50,136.2,86.8
195,955,30,100,50,135.58,86.22
195,960,30,100,50,134.96,85.64
195,965,30,100,50,134.34,85.06
195,970,30,100,50,133.72,84.48
195,975,30,100,50,133.1,83.9
195,980,30,100,50,132.48,83.32
195,985,30,100,50,131.86,82.74
195,990,30,100,50,131.24,82.16
195,995,30,100,50,130.62,81.58
195,1005,30,100,50,129.8,80.6
195,1010,30,100,50,129.6,80.2
195,1015,30,100,50,129.4,79.8
195,1020,30,100,50,129.2,79.4
195,1025,30,100,50,129,79
195,1030,30,100,50,128.8,78.6
195,1035,30,100,50,128.6,78.2
195,1040,30,100,50,128.4,77.8
195,1045,30,100,50,128.2,77.4
195,1050,30,100,50,128,77
195,1055,30,100,50,127.8,76.6
195,1060,30,100,50,127.6,76.2
195,1065,30,100,50,127.4,75.8
195,1070,30,100,50,127.2,75.4
195,1075,30,100,50,127,75
195,1080,30,100,50,126.8,74.6
195,1085,30,100,50,126.6,74.2
195,1090,30,100,50,126.4,73.8
195,1095,30,100,50,126.2,73.4
195,1100,30,100,50,126,73
195,1105,30,100,50,125.8,72.6
195,1110,30,100,50,125.6,72.2
195,1115,30,100,50,125.4,71.8
195,1120,30,100,50,125.2,71.4
195,1125,30,100,50,125,71
195,1130,30,100,50,124.8,70.6
195,1135,30,100,50,124.6,70.2
195,1140,30,100,50,124.4,69.8
195,1145,30,100,50,124.2,69.4
195,1150,30,100,50,124,69
195,1155,30,100,50,123.8,68.6
195,1160,30,100,50,123.6,68.2
195,1165,30,100,50,123.4,67.8
195,1170,30,100,50,123.2,67.4
195,1175,30,100,50,123,67
195,1180,30,100,50,122.8,66.6
195,1185,30,100,50,122.6,66.2
195,1190,30,100,50,122.4,65.8
195,1195,30,100,50,122.2,65.4
50,200,30,100,50,125,25
50,400,30,100,50,90,20
100,200,30,100,50,240,220
100,400,30,100,50,175,125
100,800,30,100,50,115,40
150,200,30,100,50,300,340
150,400,30,100,50,210,225
150,800,30,100,50,150,90
150,1200,30,100,50,120,50
200,200,30,100,50,300,480
200,400,30,100,50,220,300
200,800,30,100,50,175,140
200,1200,30,100,50,140,80
200,1600,30,100,50,100,60
250,200,30,100,50,340,680
250,800,30,100,50,160,180
250,1200,30,100,50,150,80
250,1600,30,100,50,120,90
250,2000,30,100,50,110,60
300,200,30,100,50,400,450
300,400,30,100,50,290,280
300,800,30,100,50,180,280
300,1200,30,100,50,160,140
300,1600,30,100,50,125,100
300,2000,30,100,50,130,80
300,2400,30,100,50,110,60
350,200,30,100,50,400,720
350,400,30,100,50,275,600
350,800,30,100,50,175,275
350,1200,30,100,50,160,175
350,1600,30,100,50,100,90
350,2000,30,100,50,125,100
350,2400,30,100,50,130,75
350,2800,30,100,50,110,60
400,200,30,100,50,375,980
400,400,30,100,50,250,610
400,800,30,100,50,175,300
400,1200,30,100,50,160,180
400,1600,30,100,50,120,140
400,2000,30,100,50,130,100
400,2800,30,100,50,115,75
400,3200,30,100,50,125,60
91,200,70,100,50,186.8,17.7
91,500,70,100,50,109.8,12.7
91,800,70,100,50,89.2,7.6
91,1100,70,100,50,84,5
194,200,70,100,50,268.5,38.1
194,500,70,100,50,198.2,30.4
194,1100,70,100,50,108.6,55.8
297,200,70,100,50,356,165.1
297,500,70,100,50,227.8,45.7
297,1100,70,100,50,149.8,101.6
400,200,70,100,50,412,401.3
400,500,70,100,50,306.6,157.4
400,1100,70,100,50,156.2,134.6
200,100,70,58,50,390,310
200,300,70,58,50,160,200
200,750,70,58,50,110,80
200,1000,70,58,50,65,30
200,100,70,58,0,377,345
