n_estimators,max_depth,min_samples_split,min_samples_leaf,R-squared,MAE,MSE,RMSE,RAE,RRSE
10,,2,1,0.8629537827432856,0.0074468458643373505,0.0008465925294096055,0.029096263151985782,0.16388044531778773,0.3515700050764157
10,,2,2,0.7698791454064,0.008621928385680083,0.0012554695527960988,0.035432605786141366,0.18974012475670568,0.4281320020730628
10,,2,3,0.8028991221826296,0.009986339936009716,0.0013061383489867463,0.0361405360915793,0.21976630987429577,0.436685920484389
10,,2,4,0.8060395164755443,0.010835544032212412,0.0016059408770925647,0.04007419215770375,0.23845448309376002,0.4842162674541118
10,,3,1,0.8799668015719924,0.007822280673253013,0.0007677693323108447,0.02770865085692273,0.17214252362500032,0.334803492515296
10,,3,2,0.7693404803459313,0.00952194008013387,0.001268305973260888,0.035613283662994176,0.20954640515585396,0.430315131973646
10,,3,3,0.8192991588613049,0.010017730580347953,0.0013185273172388312,0.03631153146369389,0.22045711412440097,0.43875205672767037
10,,3,4,0.7936841077872274,0.011447903368671642,0.0015133127957553901,0.0389013212597643,0.25193048656981337,0.47004447414207584
10,3.0,2,1,0.5928299429263963,0.0268625945046476,0.0023985680354673303,0.04897517774819536,0.5911568508346636,0.5917668327238883
10,3.0,2,2,0.6336373148586241,0.0260682589473554,0.0026239312174102603,0.05122432251782604,0.5736761526663011,0.6189432379531862
10,3.0,2,3,0.6145261907963142,0.02699426447247858,0.0029191161012478537,0.05402884508526768,0.5940544712979065,0.6528302703917516
10,3.0,2,4,0.6274002467874672,0.0265287366104077,0.002686027984746323,0.05182690406291237,0.583809742894252,0.6262242278094556
10,3.0,3,1,0.6201876319799773,0.026388412134448546,0.0025548201707602117,0.05054522896139864,0.5807216653338851,0.610737753838837
10,3.0,3,2,0.5846996665896421,0.02692206277699446,0.0029201448188030917,0.054038364323905026,0.592465550804023,0.6529452913055567
10,3.0,3,3,0.5780426019632376,0.026852387839854792,0.0027406077754301224,0.052350814467686385,0.5909322359034662,0.6325546346628668
10,3.0,3,4,0.5837026428646682,0.02620886162716717,0.002887016921212045,0.05373096799064805,0.5767703525732408,0.6492310229172379
10,5.0,2,1,0.7259141729400773,0.01830301025704945,0.001666351469224649,0.04082096849934662,0.4027887143395586,0.4932395623305335
10,5.0,2,2,0.7262109689377494,0.01833379790286274,0.0017601012351083616,0.04195356045806317,0.40346624858668606,0.5069246654173301
10,5.0,2,3,0.7424387223131158,0.017718409825925988,0.001759683430609535,0.041948580793747185,0.3899235925509785,0.5068644961578034
10,5.0,2,4,0.7191272330525804,0.018960275986821363,0.001960687485081464,0.044279650914177994,0.41725295899419484,0.5350308049993361
10,5.0,3,1,0.7695031827928385,0.017806491597318494,0.0016350316545204388,0.04043552465988835,0.39186198098860037,0.4885822463072638
10,5.0,3,2,0.7547496955715638,0.017999492670150382,0.0016641354246808141,0.04079381601028291,0.3961092962061707,0.4929114789382401
10,5.0,3,3,0.7659494246744304,0.019258970164649013,0.0018280699118889323,0.04275593423010345,0.4238262298484563,0.5166197437727832
10,5.0,3,4,0.7332902102000985,0.018277204770811465,0.0019751482994783175,0.04444264055474559,0.40222082094504436,0.537000208027568
10,7.0,2,1,0.8425327713976035,0.01261712865191499,0.0010058221773209938,0.03171469970409611,0.2776612675723267,0.3832085611036653
10,7.0,2,2,0.7887216242913045,0.012515803820505059,0.001252866563185627,0.035395855169576385,0.27543144318818963,0.427687944553208
10,7.0,2,3,0.7972262893930512,0.014629276099411967,0.0014657796886747656,0.03828550233018715,0.3219419772510407,0.4626035370338748
10,7.0,2,4,0.7886368954843069,0.014890525394133186,0.0017276613389493524,0.0415651457227008,0.3276912100856968,0.5022314520734102
10,7.0,3,1,0.8359759923963234,0.012593578335156844,0.001150790366257847,0.03392330122876969,0.2771430029985717,0.4098950825028325
10,7.0,3,2,0.8176358897320704,0.01297260013242347,0.001254263183881396,0.035415578265523155,0.2854840190545996,0.42792625862487793
10,7.0,3,3,0.8155766280324988,0.013571172961399059,0.0014245411607438688,0.03774309421263536,0.2986566271029839,0.45604962240761954
10,7.0,3,4,0.7674445750055158,0.014836177829312994,0.0015391278897027602,0.039231720453005374,0.32649519995108084,0.47403668597485477
10,10.0,2,1,0.8649277166321309,0.008883174393377945,0.0010096442307568076,0.0317748993823239,0.1954892852548503,0.3839359535206774
10,10.0,2,2,0.8122278589769202,0.01063959558874306,0.0011279725511517092,0.03358530260622508,0.2341423059975657,0.40581104680302077
10,10.0,2,3,0.8230012432407945,0.010413604938596709,0.0013441938114441307,0.03666324878463624,0.2291689993039222,0.4430018553929923
10,10.0,2,4,0.7779048271912148,0.011007308701778549,0.0016004297159280731,0.040005371088493516,0.2422344553197416,0.4833847028121088
10,10.0,3,1,0.815827356396975,0.008880037960217243,0.0009803237986098904,0.031310122941468795,0.19542026273545765,0.3783200620635067
10,10.0,3,2,0.8062651918053764,0.009768567424786292,0.0011716407431664098,0.034229238133011514,0.21497385723496035,0.41359171661751337
10,10.0,3,3,0.8178561390838871,0.009907705051425311,0.001110404456411917,0.033322731826966365,0.2180358161675683,0.402638405363991
10,10.0,3,4,0.7784208497604205,0.011336782479498677,0.0014545686383725086,0.03813880751114943,0.24948508335702718,0.46083102425433414
50,,2,1,0.8646064354378232,0.006991698692963853,0.0008041098384167623,0.028356830542512368,0.15386416157985952,0.34263544447980887
50,,2,2,0.8210312487317003,0.008234186002787488,0.0011948543304709388,0.0345666650180624,0.18120719745639383,0.41766884401599047
50,,2,3,0.8283290317366531,0.009434901466143366,0.0012406804170951764,0.035223293671875384,0.20763097316216705,0.42560288482214104
50,,2,4,0.8080433544039922,0.010740794581268752,0.0014940475409768457,0.0386529111578526,0.23636936108410167,0.4670429360980342
50,,3,1,0.8749548502728526,0.007045147344566264,0.0008377527093660801,0.028943958080505854,0.15504038960791444,0.3497297036441094
50,,3,2,0.8387878752091223,0.008652676792422525,0.0011789905163730418,0.03433643132844533,0.19041679548167606,0.4148869314726296
50,,3,3,0.8273357122264322,0.009410358705220017,0.0012623199620577484,0.035529142433469295,0.20709086817507338,0.42929845390963906
50,,3,4,0.8160532852445103,0.010520292667369762,0.001479971586025098,0.03847039882851617,0.23151684332000447,0.4648376405170813
50,3.0,2,1,0.6295120967440738,0.026272702980743707,0.002679926105224124,0.051768002716196464,0.5781752895954931,0.625512523125739
50,3.0,2,2,0.6333525113603076,0.02612984940688933,0.0026853817843454824,0.05182066947025561,0.5750315549560256,0.6261488952569372
50,3.0,2,3,0.6232172896973869,0.026310113003807867,0.0027426199342302426,0.05237002896915604,0.5789985604608756,0.6327868033899622
50,3.0,2,4,0.6180576731615564,0.026188575998942254,0.002693974715697032,0.051903513519770815,0.5763239329953938,0.6271498995012442
50,3.0,3,1,0.6435980775892712,0.026325326801118994,0.0027351352305418136,0.05229852034753769,0.5793333658165581,0.6319227650653825
50,3.0,3,2,0.6272369217856342,0.02626907746282852,0.0026156052523920947,0.0511429883013507,0.5780955039384146,0.6179604770141007
50,3.0,3,3,0.627869707937978,0.026429495560381093,0.002807886217087323,0.05298949157226669,0.5816257756457756,0.6402717669876122
50,3.0,3,4,0.6262603876600196,0.026191383285055353,0.002729872973218728,0.05224818631511268,0.5763857120769983,0.6313145791982578
50,5.0,2,1,0.7943723571121757,0.01732435539675054,0.0015071927725159146,0.038822580703965506,0.3812517579905266,0.46909305239223464
50,5.0,2,2,0.7614223068397156,0.017394258509381193,0.0016033577146913904,0.04004194943670188,0.382790094278897,0.48382667881425484
50,5.0,2,3,0.7736443425783718,0.017635857736592105,0.0017325178367026256,0.04162352503936476,0.3881068941247712,0.5029368490705675
50,5.0,2,4,0.7567033366969993,0.018360929527964802,0.001738621923583187,0.04169678553058002,0.40406332591108923,0.5038220552269013
50,5.0,3,1,0.7840568166823965,0.01748487944147727,0.0013875211205547464,0.03724944456706363,0.3847843612447461,0.4500848561593538
50,5.0,3,2,0.7723570534388466,0.017237185646438048,0.0015331232264684316,0.039155117500378304,0.3793334401201563,0.473111092873662
50,5.0,3,3,0.7688169465089929,0.01803621344936848,0.0017010052952067677,0.041243245449488666,0.396917399094334,0.4983419326496912
50,5.0,3,4,0.7486837456881976,0.018057248589847676,0.0017860036328562728,0.04226113619930577,0.3973803129577136,0.51064110159146
50,7.0,2,1,0.8293814081621557,0.011453943836128291,0.0010356448474993902,0.03218143638030146,0.2520634172782981,0.3888481380749667
50,7.0,2,2,0.8296589133528769,0.012831249335698191,0.0011873534636610607,0.03445799564195603,0.28237335556896237,0.41635579247704185
50,7.0,2,3,0.8198820137419428,0.012716587584611397,0.0012806038827011866,0.03578552616213972,0.27985002969766837,0.43239633724673077
50,7.0,2,4,0.7969011111626932,0.013545780885114994,0.0014571813328319427,0.03817304458426054,0.29809783149410685,0.46124471064095357
50,7.0,3,1,0.8285580939636447,0.01173186246022695,0.001058389269324261,0.03253289518816702,0.258179486914909,0.3930948131280487
50,7.0,3,2,0.8270800085820159,0.012572038545771875,0.0011026709987484,0.03320649031060645,0.27666898348201835,0.4012338596914668
50,7.0,3,3,0.8123757064264396,0.012920311817525962,0.0012836265469896495,0.035827734326770506,0.28433332619933893,0.43290633829311936
50,7.0,3,4,0.8046012921001324,0.01340348759539485,0.0014645488880767994,0.03826942497708581,0.2949664268551651,0.46240927445513996
50,10.0,2,1,0.8743153231877286,0.00825803835471733,0.0009380274236774341,0.03062723336635933,0.18173210882522703,0.3700687106740249
50,10.0,2,2,0.839267277123332,0.009317135696658612,0.0011444314621537111,0.033829446672295885,0.20503933811318906,0.40876103835690286
50,10.0,2,3,0.8277281285472103,0.010085654414138981,0.0012037360097393497,0.03469489890083771,0.2219518930324314,0.4192182933931421
50,10.0,2,4,0.8142266045539607,0.011242591432552365,0.0014394481826089226,0.03794006039279488,0.24741224997230077,0.4584295637972354
50,10.0,3,1,0.8691732519303965,0.008387543774597281,0.0008827847312480758,0.029711693510267565,0.18458209474780823,0.359006247079559
50,10.0,3,2,0.8441546132047678,0.009184283781657806,0.001118761176921689,0.03344788748070181,0.20211570690230052,0.404150660514739
50,10.0,3,3,0.8205938009252745,0.010093442508942129,0.0013060373077448703,0.036139138171031,0.22212328323813302,0.43666902941725455
50,10.0,3,4,0.8095346696933745,0.011054961707115951,0.0013737973901571576,0.03706477290038558,0.24328314034393733,0.44785346931588416
100,,2,1,0.865971400916979,0.006943449565855424,0.0008077910858962417,0.028421665783276,0.15280235788729343,0.3434188483762245
100,,2,2,0.8378902245273947,0.00863712072902421,0.001136897523872927,0.033717911024749546,0.19007445798153844,0.40741335367419157
100,,2,3,0.8257053546526094,0.009413436322107458,0.0011858718343766954,0.0344364898672425,0.20715859634283992,0.4160959383065694
100,,2,4,0.8099397501774815,0.01046541851000182,0.0014215566955665827,0.037703536910568256,0.23030924462523852,0.4555716517205971
100,,3,1,0.8755258910065662,0.007027193723493974,0.0008403280671220078,0.028988412635430866,0.15464528979384629,0.3502668478134145
100,,3,2,0.8359296451357666,0.008754907368917748,0.0011892747847059369,0.034485863548792524,0.19266655231918006,0.4166925202587779
100,,3,3,0.834265404237032,0.009509629619493584,0.001211018815783679,0.03479969562774478,0.20927549263684259,0.42048455173079374
100,,3,4,0.8020029219745283,0.010383459630263714,0.0014252252147854466,0.0377521551012051,0.22850560078005697,0.456159105079804
100,3.0,2,1,0.6303034350050974,0.02592726853203663,0.002680204445806358,0.05177069099216619,0.5705734199833767,0.625545005551107
100,3.0,2,2,0.6321926507212486,0.025852968692458466,0.002641872195283259,0.051399145861417375,0.5689383262780778,0.6210556275570617
100,3.0,2,3,0.624257898684713,0.026249553358556305,0.002693671995408895,0.05190059725483798,0.5776658429838507,0.6271146622863522
100,3.0,2,4,0.6233870320553204,0.026394396752408955,0.002768092999292942,0.05261266957010395,0.5808533669796927,0.6357186285821322
100,3.0,3,1,0.6445272663047039,0.026045165569043377,0.002660444757500861,0.05157949939172404,0.5731679437963163,0.6232348383799173
100,3.0,3,2,0.6331033341647925,0.026066377568330478,0.0027070768368227124,0.0520295765581723,0.5736347497370566,0.6286731185764654
100,3.0,3,3,0.6242073296053288,0.026066050590042782,0.0027331160192633638,0.05227921211402639,0.5736275540265005,0.6316894637744873
100,3.0,3,4,0.6299137485091035,0.026457576132656944,0.002774072093635243,0.05266946073043888,0.5822437361586127,0.6364048358941486
100,5.0,2,1,0.7992635539178912,0.01689502349852212,0.00140662887367411,0.03750505130877853,0.37180358302456534,0.4531733511668695
100,5.0,2,2,0.7745158651865751,0.01738984193417313,0.001530081432457473,0.03911625534809631,0.3826929000674063,0.4726415216780864
100,5.0,2,3,0.7644463962684176,0.01744093577658021,0.0016593799157738893,0.04073548717977839,0.3838173065341453,0.4922066919651
100,5.0,2,4,0.7466232941476127,0.017982412420865262,0.0018236406390296628,0.04270410564605777,0.39573341641626003,0.5159934992457501
100,5.0,3,1,0.7989186818175641,0.016855433521838336,0.0014193884653584884,0.03767477226684308,0.3709323385907131,0.45522408867142966
100,5.0,3,2,0.785105218953367,0.017512366890910062,0.0014971500074502518,0.03869302272309895,0.38538926908569776,0.46752760394433535
100,5.0,3,3,0.7762680860352099,0.01747720715427404,0.0016109616164996076,0.04013678632501122,0.3846155195812584,0.48497259247093927
100,5.0,3,4,0.7626055233537115,0.01820182193990053,0.0017774266463433414,0.04215953802336242,0.40056189418275406,0.5094134913294281
100,7.0,2,1,0.8489988765365576,0.011583392244739374,0.0009772080022203045,0.03126032632939561,0.2549121485714294,0.37771836984385954
100,7.0,2,2,0.8247481772415005,0.012231850531157589,0.0012490267215923606,0.035341572143756717,0.2691825705304964,0.42703204301824815
100,7.0,2,3,0.818553447630564,0.012720804129417503,0.0013806582940085114,0.03715721052512569,0.27994282190165853,0.4489703926826194
100,7.0,2,4,0.7990987405479533,0.01365859032920685,0.0015117567397270324,0.03888131607503831,0.30058039421537386,0.46980275159306895
100,7.0,3,1,0.8486766869799149,0.011393971576864491,0.0010079047044995032,0.03174751493423546,0.2507436262239495,0.3836050673686249
100,7.0,3,2,0.8220520983345363,0.012347930621664595,0.0012394267468732098,0.03520549313492441,0.27173710936094525,0.4253878010213956
100,7.0,3,3,0.8177521277240863,0.012943845233997756,0.001367626473455566,0.03698143417250832,0.2848512188536929,0.44684648787535264
100,7.0,3,4,0.7915296772088578,0.013522498563070001,0.0014634490095735576,0.03825505207908568,0.2975854645975342,0.46223560679904013
100,10.0,2,1,0.870702124627224,0.008139324877062296,0.0008391507327928207,0.028968098536024427,0.179119617854184,0.35002139264983767
100,10.0,2,2,0.8224999458387146,0.009248017436375426,0.0011671725138260676,0.03416390659491487,0.20351827382890672,0.4128023159628551
100,10.0,2,3,0.8305362606103547,0.009999781912669018,0.001276087944476982,0.03572237316412478,0.2200621233181361,0.43163325988120355
100,10.0,2,4,0.8120529536387278,0.010932793440639493,0.0014083764323481226,0.03752834172126611,0.2405946208984438,0.4534547691068201
100,10.0,3,1,0.8762595517487757,0.008168522754006566,0.0008325706208810006,0.02885429986814791,0.17976216654703076,0.348646363903567
100,10.0,3,2,0.8332953244137883,0.009087835351123183,0.0010965851568963147,0.03311472719042563,0.19999319597161105,0.4001250863600159
100,10.0,3,3,0.8293632617037995,0.009841476853239255,0.0012471054629468676,0.035314380398739374,0.2165783525904984,0.42670348529645935
100,10.0,3,4,0.8146510786764383,0.010963065604262325,0.0014102178157677156,0.03755286694471829,0.24126081108763528,0.45375110726160456
200,,2,1,0.875236319666468,0.006942247184948787,0.0008138068866600666,0.02852730072509607,0.15277589746068987,0.34469523486056225
200,,2,2,0.8251549344166419,0.008469070774811507,0.001131347217056713,0.03363550530401934,0.18637623435321007,0.40641764575444567
200,,2,3,0.8274563649956225,0.00935982562645143,0.0012630469561782745,0.03553937191592269,0.20597880226116289,0.42942205669599287
200,,2,4,0.8061142039640966,0.01041864260525125,0.001413441671449337,0.037595766669258616,0.229279861683747,0.4542694644229911
200,,3,1,0.8718988559897417,0.007080282511213851,0.000824376497784916,0.028711957400792375,0.15581359840817924,0.346926440568073
200,,3,2,0.8381512452735841,0.008390903534690113,0.0011408894651197166,0.03377705530563191,0.18465603195427183,0.40812799373025094
200,,3,3,0.8308496611392033,0.009261751011389633,0.001229368731856594,0.035062354910310775,0.20382050438800983,0.4236582625548517
200,,3,4,0.8116749577607358,0.01037744100626937,0.001420576101471223,0.037690530660515024,0.22837315077392525,0.45541449726494226
200,3.0,2,1,0.6341263301920536,0.026074899730881545,0.002659282894295134,0.051568235322678374,0.573822294345792,0.6230987346888391
200,3.0,2,2,0.6347910932529033,0.02599179945402006,0.0026504115215987612,0.05148214760087968,0.5719935321253585,0.6220585371682267
200,3.0,2,3,0.6248981725643049,0.0264448158006206,0.0026599390315804033,0.05157459676604756,0.5819629234582272,0.6231755999778942
200,3.0,2,4,0.6311290656280855,0.026423139881837348,0.0027268889925329233,0.05221962267704472,0.581485908183897,0.6309694448994615
200,3.0,3,1,0.6376920250546407,0.026209574842191184,0.0026233660658115214,0.05121880578275446,0.5767860480767967,0.6188765792703514
200,3.0,3,2,0.6355502297689283,0.02617235667811956,0.0026736138162246196,0.05170699968306631,0.5759669993932222,0.6247754237753785
200,3.0,3,3,0.630024842917897,0.02637047254584534,0.002700946702357045,0.05197063307635424,0.5803268743280459,0.6279609047745158
200,3.0,3,4,0.626430902426163,0.02633090288151439,0.002746980516627335,0.052411644857105325,0.5794560769018917,0.6332896479601107
200,5.0,2,1,0.7994446291336075,0.017267685944055776,0.001422323188026525,0.037713700269617206,0.3800046507839698,0.45569445553817906
200,5.0,2,2,0.7830485897374941,0.017170308984268714,0.0015224350239396833,0.03901839340541437,0.3778617059957583,0.4714590563042423
200,5.0,2,3,0.7789935567561138,0.017508920581412703,0.0016282329349928825,0.040351368440151844,0.3853134272131226,0.4875653871166032
200,5.0,2,4,0.7597052487578837,0.018124168222417296,0.0017974191670906913,0.042395980553475716,0.39885299271848745,0.5122704252620778
200,5.0,3,1,0.7967732920413879,0.017068549257315248,0.0014504461413674073,0.038084723201927136,0.37562231099922516,0.46017752381104643
200,5.0,3,2,0.7856488672941634,0.017302092738088578,0.0015477749743944673,0.03934177136828573,0.3807618305122432,0.4753664306448723
200,5.0,3,3,0.7648921727582884,0.017536619427201163,0.0017065027027905009,0.04130983784512475,0.3859229871886204,0.49914656823981957
200,5.0,3,4,0.7582733067612187,0.01793057374085914,0.0017348382183254058,0.0416513891524089,0.3945926185376879,0.5032735310119291
200,7.0,2,1,0.8460160290432299,0.01154822265328171,0.000956546919031939,0.030928092715716227,0.2541381821949628,0.3737039927179142
200,7.0,2,2,0.8231660815825362,0.012522725311496105,0.001187093075315494,0.03445421709044474,0.27558376231047843,0.41631013625764807
200,7.0,2,3,0.8174830872607611,0.012688575927574641,0.0012606043169789926,0.03550499002927606,0.2792335857812907,0.4290066205281334
200,7.0,2,4,0.8023532261123749,0.01361966907821074,0.001550702901413169,0.03937896521511414,0.29972386622194325,0.47581584371382785
200,7.0,3,1,0.8500159635324064,0.01158232319954989,0.000995124978559897,0.031545601572325374,0.2548886224229219,0.38116534920616113
200,7.0,3,2,0.8258456328191652,0.012446159463627518,0.0012228807592336993,0.03496971202674822,0.2738988012580511,0.4225388590467707
200,7.0,3,3,0.8167023935424537,0.012632670936493262,0.001320791232944145,0.0363426916029089,0.2780033018462118,0.43912856453710203
200,7.0,3,4,0.803647478763801,0.013418361130065736,0.001476587967669394,0.0384263967562585,0.29529374415563286,0.4643059636936283
200,10.0,2,1,0.8743561112785398,0.008056491135624413,0.0008391908346710751,0.028968790700874537,0.17729672119679676,0.3500297560743295
200,10.0,2,2,0.8323030173317202,0.009231855493503935,0.001086844153464802,0.03296731947648765,0.20316260292565025,0.39834395967488895
200,10.0,2,3,0.8247871048945609,0.009808631449900485,0.0011973912363854402,0.03460334140491984,0.2158555339067416,0.4181120046186528
200,10.0,2,4,0.8075388021119888,0.010927600413190606,0.0014090157506939202,0.03753685856187116,0.24048033954142703,0.4535576780501133
200,10.0,3,1,0.8724574005572945,0.008003539571572715,0.0008500837493906196,0.029156195729049077,0.1761314324215016,0.35229417011136616
200,10.0,3,2,0.8317380845151152,0.009363543565613424,0.0011400640654625552,0.03376483474656074,0.20606062180417908,0.407980332774882
200,10.0,3,3,0.8261023980835303,0.009880505394581515,0.0012503684899119406,0.03536054990963716,0.21743724168956025,0.42726135127037923
200,10.0,3,4,0.8103702975443119,0.010862903239404757,0.0014212036254003663,0.03769885443087583,0.23905656874719014,0.4555150733414205
